DISTRICT,Total_Area_(ha),Total_Capacity_(MW),Total_estimated_energy_(GWh)
COLOMBO,26,13,19
GAMPAHA,415,207,295
KALUTARA,1160,580,852
KANDY,360,180,258
MATALE,2732,1366,1970
NUWARA ELIYA,495,247,375
GALLE,302,151,226
MATARA,332,166,247
HAMBANTOTA,1976,988,1436
JAFFNA,962,481,738
MANNAR,3612,1806,2776
VAVUNIYA,1855,927,1433
MULLAITIVU,7417,3708,5737
KILINOCHCHI,2099,1049,1586
BATTICALOA,3136,1568,2312
AMPARA,6367,3183,4715
TRINCOMALEE,1957,979,1464
KURUNEGALA,3452,1726,2525
PUTTALAM,2520,1260,1879
ANURADHAPURA,616,308,467
POLONNARUWA,982,491,746
BADULLA,10103,5052,7522
MONERAGALA,2531,1266,1850
RATNAPURA,3536,1768,2568
KEGALLE,336,168,240
